[2018-12-07 12:17:45,035] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:45,287] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:45,535] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:45,807] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:46,055] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:46,308] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:46,652] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:46,923] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:17:46,924] [INFO] [bogon][installapp.py - line:60] app安装超过最长时间:30!
[2018-12-07 12:17:46,924] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/install_app.log文件完成
[2018-12-07 12:17:47,175] [INFO] [bogon][lanuchapp.py - line:35] 清除数据缓存命令:adb -s 192.168.56.101:5555 shell pm clear com.tencent.qqmusic
[2018-12-07 12:17:48,048] [INFO] [bogon][lanuchapp.py - line:53] 启动app命令:adb -s 192.168.56.101:5555 shell am start -W com.tencent.qqmusic/com.tencent.qqmusic.activity.AppStarterActivity
[2018-12-07 12:17:48,049] [INFO] [bogon][lanuchapp.py - line:57] 本次冷启动时间:560
[2018-12-07 12:17:51,054] [INFO] [bogon][lanuchapp.py - line:82] 均值为:560.0
[2018-12-07 12:17:51,054] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/lanuch_app.log文件完成
[2018-12-07 12:17:51,100] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:17:51,100] [INFO] [bogon][logintest.py - line:68] appium启动命令:appium --log /Users/xinxi/PycharmProjects/maxauto/report/tmp/appium_log --session-override --udid 192.168.56.101:5555 -a 127.0.0.1 -p 4725
[2018-12-07 12:17:55,076] [INFO] [bogon][logintest.py - line:74] 启动appium中...
[2018-12-07 12:17:55,076] [INFO] [bogon][logintest.py - line:76] appium启动成功
[2018-12-07 12:18:02,835] [INFO] [bogon][logintest.py - line:137] 启动app中.....
[2018-12-07 12:18:08,636] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:18:08,637] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/login_app.log文件完成
[2018-12-07 12:18:57,677] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:18:57,678] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:18:57,799] [INFO] [bogon][installapp.py - line:37] 卸载app命令:adb -s 192.168.56.101:5555 uninstall com.tencent.qqmusic
[2018-12-07 12:18:57,804] [INFO] [bogon][installapp.py - line:40] 安装app命令:adb -s 192.168.56.101:5555 install /Users/xinxi/Downloads/QQMusic72282.apk
[2018-12-07 12:18:58,490] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:18:58,871] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:18:59,463] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:18:59,995] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:00,284] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:00,544] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:00,799] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:01,034] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:01,287] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:01,558] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:01,824] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:02,104] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:02,344] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:02,611] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:02,848] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:03,088] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:03,347] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:03,611] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:03,851] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:04,095] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:04,339] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:04,624] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:04,976] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:05,324] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:05,651] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:05,999] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:06,315] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:06,627] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:06,891] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:07,183] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:19:07,184] [INFO] [bogon][installapp.py - line:60] app安装超过最长时间:30!
[2018-12-07 12:19:07,184] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/install_app.log文件完成
[2018-12-07 12:19:07,419] [INFO] [bogon][lanuchapp.py - line:35] 清除数据缓存命令:adb -s 192.168.56.101:5555 shell pm clear com.tencent.qqmusic
[2018-12-07 12:19:07,667] [INFO] [bogon][lanuchapp.py - line:53] 启动app命令:adb -s 192.168.56.101:5555 shell am start -W com.tencent.qqmusic/com.tencent.qqmusic.activity.AppStarterActivity
[2018-12-07 12:19:10,670] [INFO] [bogon][lanuchapp.py - line:64] 启动时间计算异常!:unsupported operand type(s) for /: 'str' and 'int'
[2018-12-07 12:19:10,670] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/lanuch_app.log文件完成
[2018-12-07 12:19:10,722] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:19:10,722] [INFO] [bogon][logintest.py - line:68] appium启动命令:appium --log /Users/xinxi/PycharmProjects/maxauto/report/tmp/appium_log --session-override --udid 192.168.56.101:5555 -a 127.0.0.1 -p 4725
[2018-12-07 12:19:14,558] [INFO] [bogon][logintest.py - line:74] 启动appium中...
[2018-12-07 12:19:14,561] [INFO] [bogon][logintest.py - line:76] appium启动成功
[2018-12-07 12:19:17,843] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:19:17,843] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/login_app.log文件完成
[2018-12-07 12:20:03,914] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:20:03,914] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:20:04,032] [INFO] [bogon][installapp.py - line:37] 卸载app命令:adb -s 192.168.56.101:5555 uninstall com.tencent.qqmusic
